high(0);last(1);created_at(2);book(3);volumne(4);vwa(5);low(6);ask(7);bid(8);ask_avg_price(9);ask_avg_amount(10);bid_avg_price(11);bid_avg_amount(12);avg_trade_sell_amount(13);avg_trade_buy_amount(14);sentiment_Twitter(15);interest_trends(16);time_stamp(17)
2608.89;2588.95;2019-03-20T12:24:08+00:00;eth_mxn;386.41526116;2594.16693284;2583.00;2614.84;2588.95;2688.3768;15.6301061372;2755.0;0.5;0.566784054375;0.444244694559;0.0;46.0344827586;1553084720.8138266
2614.81;2586.00;2019-03-20T18:34:13+00:00;eth_mxn;370.78273055;2595.82862887;2583.00;2594.21;2586.00;2675.2578;15.3235811054;2750.56;0.78576213;0.465543089167;0.602386956094;0.0;45.1810344828;1553106969.8786416
2595.00;2595.00;2019-03-21T11:24:04+00:00;eth_mxn;242.54684584;2582.22565416;2589.10;2595.00;2592.10;2691.9238;15.1074813128;2760.6;0.38507752;0.560040862857;0.672523085345;2.0;22.9137931034;1553167672.186265
2605.00;2592.10;2019-03-21T12:20:57+00:00;eth_mxn;246.67865829;2582.39894266;2589.10;2608.24;2590.00;2689.013;15.0593431074;2760.0;0.04058812;0.599967421282;0.673240575738;1.0;26.1271186441;1553170938.7516813
2605.00;2592.10;2019-03-21T12:23:19+00:00;eth_mxn;247.01644282;2582.38954871;2589.10;2606.83;2592.10;2692.175;14.9775686602;2760.6;0.38507752;0.599967421282;0.679208062951;0.0;26.0948275862;1553171113.997361
2605.00;2559.96;2019-03-21T20:21:24+00:00;eth_mxn;367.11907672;2548.88716732;2500.01;2553.51;2530.08;2659.7376;7.0014905592;2730.1;0.00374043;0.78271006;1.56337730855;0.0;58.5172413793;1553199772.1436048
2560.00;2560.00;2019-03-22T12:20:54+00:00;eth_mxn;368.44905375;2529.73378146;2536.00;2560.40;2560.00;2652.8274;14.3850072778;2726.12;0.19733607;1.06817545618;0.641149329111;-1.0;56.6610169492;1553257481.6562788
2600.00;2580.40;2019-03-23T12:20:56+00:00;eth_mxn;175.83936907;2579.69729626;2577.47;2600.00;2579.95;2657.7202;13.4991927224;2730.0;0.14965842;0.396219962143;0.391323625;1.0;46.4491525424;1553343791.7352412
2607.06;2581.04;2019-03-23T16:34:12+00:00;eth_mxn;157.73209731;2577.89103687;2577.47;2600.38;2581.04;2662.009;13.2427974526;2730.1;0.00374043;0.662841332;0.650896339333;-1.0;46.8275862069;1553358952.8933592
2607.06;2600.40;2019-03-23T18:23:24+00:00;eth_mxn;145.68522406;2577.72116862;2577.47;2600.40;2581.04;2659.8702;13.0767962276;2730.06;0.01914198;0.755365037959;0.519292238235;0.0;40.5847457627;1553365521.0001001
2605.78;2602.96;2019-03-24T12:20:56+00:00;eth_mxn;134.17796816;2581.00959704;2581.00;2604.66;2581.39;2649.8526;13.4806308846;2723.0;0.22098093;0.258313089298;0.782142433488;2.0;38.5508474576;1553430196.7135913
2605.78;2602.96;2019-03-24T12:24:17+00:00;eth_mxn;134.17796816;2581.00959704;2581.00;2603.66;2581.40;2652.158;13.3602114046;2724.0;3.0;0.258313089298;0.782142433488;1.0;37.9655172414;1553430485.0573995
2598.94;2598.32;2019-03-25T12:20:52+00:00;eth_mxn;154.64290932;2573.54539643;2573.00;2587.77;2573.00;2646.3038;12.9755614406;2710.0;0.99873578;0.657547717857;0.557161405517;-1.0;42.2796610169;1553516575.715361
2598.94;2598.32;2019-03-25T12:23:25+00:00;eth_mxn;154.64290932;2573.54539643;2573.00;2585.37;2573.00;2651.1958;12.8751650154;2723.0;0.22098093;0.657547717857;0.557161405517;0.0;42.6271186441;1553516780.0519984
2539.99;2512.04;2019-03-26T12:20:53+00:00;eth_mxn;522.19903801;2522.38820340;2512.03;2533.81;2512.00;2602.1748;12.7992199408;2681.0;10.0;0.356700481081;0.647016529683;1.0;53.5847457627;1553602996.6263568
2539.99;2512.04;2019-03-26T12:24:17+00:00;eth_mxn;522.19903801;2522.38820340;2512.03;2529.82;2512.00;2602.3418;12.940864742;2681.0;10.0;0.356700481081;0.647016529683;0.0;56.5603448276;1553603235.129981
2600.00;2589.89;2019-03-27T02:30:13+00:00;eth_mxn;390.63545813;2523.04288616;2501.02;2589.54;2575.05;2652.04;10.5705550356;2716.0;0.1;1.30800481778;0.218675103929;1.0;43.3362068966;1553654059.3976936
2608.70;2608.70;2019-03-27T12:20:57+00:00;eth_mxn;586.99752995;2545.28587611;2560.90;2608.70;2592.97;2666.875;11.1468568276;2724.0;3.0;2.10808355681;2.62388477065;1.0;25.1355932203;1553689363.110355
2608.70;2608.70;2019-03-27T12:23:13+00:00;eth_mxn;586.99752995;2545.28587611;2560.90;2608.70;2595.85;2664.3952;11.0868568276;2723.0;0.22098093;2.10808355681;2.62388477065;1.0;25.3448275862;1553689497.6024213
2630.00;2622.00;2019-03-27T15:21:24+00:00;eth_mxn;781.93095649;2563.76308514;2560.90;2622.00;2617.00;2667.0844;10.188358476;2720.0;3.75465528;2.91398152029;1.62425299833;-1.0;58.1293103448;1553700209.1932082
2619.00;2573.02;2019-03-28T12:20:57+00:00;eth_mxn;650.05436611;2591.53037333;2573.02;2608.77;2573.01;2655.643;11.8405460588;2708.05;0.23978174;1.19688269182;0.816084055588;2.0;52.6101694915;1553775764.256191
2619.00;2573.02;2019-03-28T12:23:14+00:00;eth_mxn;650.05436611;2591.53037333;2573.02;2609.99;2573.01;2653.7238;11.8625924228;2706.0;0.00373339;1.19688269182;0.816084055588;1.0;49.9051724138;1553775978.431205
2619.00;2565.39;2019-03-28T15:21:24+00:00;eth_mxn;467.90022375;2581.44568186;2565.04;2598.08;2565.47;2643.3638;12.5446185714;2696.0;0.1;0.18215201;0.667642265395;-1.0;45.6810344828;1553786589.0013306
2619.00;2561.04;2019-03-28T15:28:46+00:00;eth_mxn;469.48502995;2581.29698906;2561.04;2596.02;2561.04;2647.3344;12.6533617752;2700.0;11.57166654;0.189048802857;0.611301456962;1.0;47.8983050847;1553787036.4014606
